epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4349,1.2375,1.59427,1.19796,0.66438,0.50779,0.57554,0.42903,1.07684,1.03037,1.0402,1.785e-05,1.785e-05,1.785e-05
2,22.3167,1.23293,1.54552,1.19029,0.63151,0.56183,0.58389,0.4344,1.07642,1.01046,1.04138,3.32379e-05,3.32379e-05,3.32379e-05
3,33.1906,1.22181,1.4241,1.17772,0.63196,0.56765,0.6009,0.44428,1.07709,1.00398,1.04048,4.48559e-05,4.48559e-05,4.48559e-05
4,43.9493,1.225,1.50098,1.14464,0.66115,0.56325,0.60731,0.44981,1.07385,1.01015,1.03902,5.27039e-05,5.27039e-05,5.27039e-05
5,54.812,1.16278,1.31479,1.13724,0.70802,0.55795,0.61639,0.46034,1.06997,1.01478,1.03629,5.6782e-05,5.6782e-05,5.6782e-05
6,65.6107,1.18779,1.3217,1.1341,0.70402,0.5601,0.62505,0.4658,1.06294,1.01606,1.03147,5.70903e-05,5.70903e-05,5.70903e-05
7,76.3812,1.16477,1.30661,1.1325,0.70982,0.56799,0.62934,0.46895,1.05842,0.99962,1.02795,4.8314e-05,4.8314e-05,4.8314e-05
8,87.1396,1.14601,1.27095,1.12689,0.7134,0.57098,0.63193,0.47194,1.05335,0.9779,1.02562,3.6533e-05,3.6533e-05,3.6533e-05
9,97.7786,1.11845,1.18885,1.1049,0.75538,0.54932,0.63588,0.47445,1.04562,0.96683,1.0221,2.4752e-05,2.4752e-05,2.4752e-05
10,108.608,1.19306,1.2158,1.15527,0.7426,0.54845,0.63351,0.4736,1.04552,0.95399,1.0225,1.2971e-05,1.2971e-05,1.2971e-05
